id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker
44006,Chicago Fire,2012-10-10,93.5526,8.411,2250,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-10-10,NFLX
1100,How I Met Your Mother,2005-09-19,91.6588,8.146,5190,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-19,NFLX
31917,Pretty Little Liars,2010-06-08,90.813,7.984,2652,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-06-08,NFLX
4194,Star Wars: The Clone Wars,2008-10-03,90.4403,8.461,2110,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-10-03,NFLX
71728,Young Sheldon,2017-09-25,90.3242,8.049,2689,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX
52,That '70s Show,1998-08-23,90.1929,7.947,1463,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998-08-23,NFLX
2004,Malcolm in the Middle,2000-01-09,89.5528,8.5,4490,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-01-09,NFLX
15260,Adventure Time,2010-04-05,85.8204,8.496,2846,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-04-05,NFLX
48891,Brooklyn Nine-Nine,2013-09-17,88.5908,8.21,3536,Netflix,8,TV Show,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-17,NFLX
16286,"Yo soy Betty, la fea",1999-10-25,88.2407,8.347,3429,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-10-25,NFLX
111803,The White Lotus,2021-07-11,84.3288,7.622,1049,Netflix,8,TV Show,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-11,NFLX
111803,The White Lotus,2021-07-11,84.3288,7.622,1049,Netflix,8,TV Show,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-11,NFLX
61923,Star vs. the Forces of Evil,2015-01-18,82.8478,8.362,1413,Netflix,8,TV Show,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-01-18,NFLX
39351,Grimm,2011-10-28,82.0229,8.265,3304,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-10-28,NFLX
74016,The Resident,2018-01-21,82.3444,8.419,1241,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-21,NFLX
1981,Charmed,1998-10-07,82.0917,8.181,2367,Netflix,8,TV Show,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998-10-07,NFLX
108978,Reacher,2022-02-03,76.6448,8.11,2271,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-03,NFLX
47,El Chavo del Ocho,1973-02-26,75.2699,8.0,1921,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973-02-26,NFLX
76479,The Boys,2019-07-25,77.3852,8.5,10946,Netflix,8,TV Show,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-25,NFLX
1418,The Big Bang Theory,2007-09-24,78.7303,7.908,11663,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-09-24,NFLX
1973,24,2001-11-06,78.7327,7.779,1590,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-11-06,NFLX
77169,Cobra Kai,2018-05-02,74.4391,8.213,6580,Netflix,8,TV Show,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-05-02,NFLX
1419,Castle,2009-03-09,76.8312,7.995,1926,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-03-09,NFLX
39272,Once Upon a Time,2011-10-23,75.0714,7.378,2313,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-10-23,NFLX
95479,Jujutsu Kaisen,2020-10-03,65.7763,8.58,3831,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-03,NFLX
4586,Gilmore Girls,2000-10-05,74.7022,7.888,1098,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-10-05,NFLX
100088,The Last of Us,2023-01-15,451.8147,8.581,5700,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,DIS
2734,Law & Order: Special Victims Unit,1999-09-20,388.445,7.939,3919,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-09-20,DIS
1416,Grey's Anatomy,2005-03-27,281.2538,8.228,10468,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-27,DIS
79744,The Rookie,2018-10-16,228.0813,8.516,2390,Disney+,337,TV Show,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-16,DIS
60735,The Flash,2014-10-07,195.6986,7.773,11262,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-10-07,DIS
456,The Simpsons,1989-12-17,196.3708,8.0,10163,Disney+,337,TV Show,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989-12-17,DIS
1622,Supernatural,2005-09-13,194.6585,8.297,7786,Disney+,337,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,DIS
1399,Game of Thrones,2011-04-17,180.8056,8.5,24898,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-04-17,DIS
2691,Two and a Half Men,2003-09-22,171.0991,7.45,3373,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-22,DIS
65334,Miraculous: Tales of Ladybug & Cat Noir,2015-10-19,165.6643,8.049,4457,Disney+,337,TV Show,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-19,DIS
4614,NCIS,2003-09-23,167.9212,7.6,2340,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-23,DIS
42009,Black Mirror,2011-12-04,158.1741,8.3,5433,Disney+,337,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-04,DIS
57243,Doctor Who,2005-03-26,160.6618,7.5,3103,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-26,DIS
44953,El Señor de los Cielos,2013-04-15,172.8835,7.92,3299,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-04-15,DIS
1434,Family Guy,1999-01-31,158.9476,7.4,4544,Disney+,337,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-01-31,DIS
127532,Solo Leveling,2024-01-07,146.169,8.6,1096,Disney+,337,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-07,DIS
46952,The Blacklist,2013-09-23,148.0615,7.633,3254,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-23,DIS
78191,You,2018-09-09,141.8892,8.044,3360,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-09,DIS
71790,S.W.A.T.,2017-11-02,137.2258,8.099,1463,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-02,DIS
32798,Hawaii Five-0,2010-09-20,138.0731,7.758,1761,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-20,DIS
83867,Andor,2022-09-21,134.8544,8.225,1397,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-21,DIS
37606,The Amazing World of Gumball,2011-05-03,134.2968,8.493,1490,Disney+,337,TV Show,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-05-03,DIS
1405,Dexter,2006-10-01,126.6542,8.2,4613,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-10-01,DIS
1911,Bones,2005-09-13,125.5887,8.221,3253,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,DIS
1400,Seinfeld,1989-07-05,126.252,8.258,2097,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989-07-05,DIS
67136,This Is Us,2016-09-20,128.7318,8.239,1492,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-20,DIS
1431,CSI: Crime Scene Investigation,2000-10-06,125.3418,7.636,1280,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-10-06,DIS
2190,South Park,1997-08-13,122.4133,8.371,4515,Disney+,337,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-08-13,DIS
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Disney+,337,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,DIS
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,DIS
2316,The Office,2005-03-24,131.7228,8.579,4471,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,DIS
34307,Shameless,2011-01-09,120.0409,8.161,2874,Disney+,337,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-09,DIS
1396,Breaking Bad,2008-01-20,119.1338,8.924,15439,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-20,DIS
1668,Friends,1994-09-22,118.8278,8.434,8332,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-09-22,DIS
1668,Friends,1994-09-22,118.8278,8.434,8332,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-09-22,DIS
